part_number,Model,N,MAE,RMSE,WAPE_pct,Forecast_Bias,R2
Part 43,3-day Moving Average,37,17.405405405405403,36.51656417927978,151.88679245283018,0.3603603603603612,-0.506817180053124
Part 43,LightGBM,37,9.4262381534762,23.229486810945083,82.25726690533476,-3.2660649997431412,0.3902385313741137
Part 43,CatBoost,37,9.647897775850337,25.823109148712906,84.19156077982605,-4.09024383713077,0.24647475224921567
Part 44,XGBoost,37,4.416991688109733,6.062050056012143,121.05829071115564,1.0085315349939707,-0.04076770360598414
Part 44,3-day Moving Average,37,5.153153153153152,7.754103824822448,141.23456790123456,0.5765765765765766,-0.702856275945771
Part 44,LightGBM,37,4.073492545603441,5.807264188062056,111.64386976839063,1.0769937982667677,0.04488000223263511
Part 44,CatBoost,37,4.904000163060677,6.430160301249071,134.40593039499632,1.8540479696288545,-0.17100397809530454
Part 45,XGBoost,6,0.6476923823356628,0.6635992150663405,129.53847646713257,0.6476923823356628,-0.7614556729466528
Part 45,3-day Moving Average,6,0.0,0.0,0.0,0.0,1.0
Part 45,LightGBM,6,0.32435172797153705,0.7390583459025396,64.87034559430741,0.3139532224518322,-1.1848289545927915
Part 45,CatBoost,6,0.11833604344896582,0.17429370585811568,23.667208689793164,0.012940135086487578,0.8784868163929787
Part 46,XGBoost,37,3.0590795004690015,4.788500512868098,85.10221166718274,0.13018324729558584,0.2589865876394083
Part 46,3-day Moving Average,37,3.072072072072072,5.04484394708602,85.46365914786966,0.8738738738738739,0.1775254552035629
Part 46,LightGBM,37,2.60370539654347,4.259714915834775,72.43390952790105,0.4778938009421185,0.41360796648483
Part 46,CatBoost,37,2.2039852833759626,3.4628122701172317,61.31387630444407,0.636132600751968,0.612488239177944
Part 47,XGBoost,37,7.329524552499926,9.189225221955931,56.61636919467583,-0.3076272880708849,0.3425042282664732
Part 47,3-day Moving Average,37,9.198198198198197,12.489875779886564,71.05080027835768,-1.5405405405405401,-0.2146507160100608
Part 47,LightGBM,37,6.637246408342622,8.083939330744808,51.2689179767593,-0.006472253942293161,0.49115997715715
Part 47,CatBoost,37,8.210533129659133,9.994665422944975,63.42165465498704,-1.672028590945697,0.22219327585688997
Part 48,XGBoost,37,5.18672185914742,7.914685227402298,74.3832204606413,-0.21973079664481654,0.18702738146588582
Part 48,3-day Moving Average,37,7.27027027027027,10.906784950568978,104.26356589147288,-2.603603603603604,-0.5438394141823981
Part 48,LightGBM,37,4.628911700164262,6.702468396631989,66.38361740545648,0.7962993774161177,0.4169870874794054
Part 48,CatBoost,37,3.7714461275534776,5.240606269061241,54.08663051142584,-1.2406256855312325,0.6435721032348697
Part 49,XGBoost,37,7.634163149305292,12.216696482000247,92.61115951616256,3.9481276579805322,-0.45903300708172945
Part 49,3-day Moving Average,37,7.675675675675675,10.520678907973794,93.11475409836065,-0.7747747747747749,-0.08204439747306669
Part 49,LightGBM,37,6.880196099774694,10.194066543852342,83.46467399726679,2.749970761217743,-0.015903547658280504
Part 49,CatBoost,37,5.272127473349292,7.2679186898129915,63.95695623407338,1.291730241918969,0.4836101843078847
Part 5,XGBoost,37,36.046971781833754,49.993244264851405,55.688432397822496,-7.6671262915069995,-0.37021734070317414
Part 5,3-day Moving Average,37,40.28828828828829,49.79483432571621,62.240779401530965,-2.6666666666666643,-0.35936286371910975
Part 5,LightGBM,37,43.61580472487606,56.21064787669034,67.38141022214673,-16.336317201178225,-0.7322237934935605
Part 5,CatBoost,37,41.402119213896775,52.59911231566638,63.961520288692306,-14.050440969692469,-0.5167836813549787
Part 50,XGBoost,37,23.253663778305054,30.64101055359941,47.85236706325289,0.5819342136383057,-0.008515845497148788
Part 50,3-day Moving Average,37,29.360360360360357,35.80406305059429,60.418984056358916,-3.144144144144144,-0.3770229669024612
Part 50,LightGBM,37,24.476596933830706,32.35130421636694,50.3689703310198,-3.9207425544204337,-0.1242428765081991
Part 50,CatBoost,37,27.835171066152068,34.364372935625376,57.280385397532065,-4.7247812344081135,-0.2685085661378823
Part 51,XGBoost,37,33.951793702873026,43.296936596571264,48.44644685716552,-1.8398517209130365,-0.7154683517434648
Part 51,3-day Moving Average,37,32.711711711711715,40.85964403308612,46.67695076487981,-0.6396396396396394,-0.5277684195640733
Part 51,LightGBM,37,33.58329084642658,43.104729530774875,47.920623267172516,-6.5130157046527275,-0.7002712826796833
Part 51,CatBoost,37,34.55685747739742,42.55594290331037,49.30982362760142,-8.231513356911856,-0.6572529701484031
Part 52,XGBoost,37,4.7717838955514535,6.445534832353422,68.9671891153921,-1.0861085275112576,0.30089492234449167
Part 52,3-day Moving Average,37,5.873873873873874,8.104423587256635,84.89583333333334,0.8108108108108109,-0.10527106500260852
Part 52,LightGBM,37,3.9686398863294032,6.212512731775836,57.359248357104654,-0.29656397449742133,0.350529961996327
Part 52,CatBoost,37,4.253824599502368,6.711907884132491,61.48105866468265,-1.1416629534520875,0.2419174288625715
Part 53,XGBoost,37,45.49996828066336,55.45752239901734,54.30641375434014,-16.22667347096108,-0.29361925774459974
Part 53,3-day Moving Average,37,42.621621621621614,55.896971934725336,50.87096774193548,-5.414414414414411,-0.314201955923046
Part 53,LightGBM,37,45.99021556462337,58.80624258562651,54.89154760938919,-19.317400632788964,-0.45456257025946956
Part 53,CatBoost,37,46.841492093449126,55.865901413214054,55.90758733734251,-20.17410183876344,-0.3127413547432474
Part 54,XGBoost,37,62.32215264359036,75.15356840516455,69.30927706080082,-5.777077768300031,-0.6150935543406797
Part 54,3-day Moving Average,37,75.23423423423424,89.03633229456652,83.66897104498547,1.6666666666666665,-1.266903298855746
Part 54,LightGBM,37,71.08117718279959,84.1275974112022,79.05030224717717,-10.464205938538992,-1.0238365898191106
Part 54,CatBoost,37,63.761340050683565,76.34730938746873,70.90981610686178,-10.68245391260248,-0.6668094111355833
Part 55,XGBoost,37,4.9820540241293,6.915748463676033,79.45517193654487,0.5740618899061873,0.10230671725610208
Part 55,3-day Moving Average,37,5.1891891891891895,7.988730801561649,82.75862068965517,-0.5765765765765763,-0.19785754110797327
Part 55,LightGBM,37,4.639837714667796,6.997579400250299,73.99741182875364,-1.0091577833068377,0.08093703136111152
Part 55,CatBoost,37,4.241481164957676,6.211884972718838,67.64431168251465,-1.4742823939684155,0.27573681869994815
Part 56,XGBoost,37,75.60594143738618,88.46243740882879,49.573273669737524,-31.924864975181787,-0.595097683482376
Part 56,3-day Moving Average,37,56.83783783783784,80.80025793078684,37.26741095162148,7.162162162162162,-0.33074540706904054
Part 56,LightGBM,37,77.08514505244447,93.22418229526708,50.54315730888616,-30.13498007635267,-0.7714408157642545
Part 56,CatBoost,37,70.21676854623992,86.32565868630684,46.03970292771358,-31.940309381093595,-0.5189703033932478
Part 57,XGBoost,37,13.483804142152941,17.193061771867587,82.59946246020841,1.1313384739128318,-0.5883065779200094
Part 57,3-day Moving Average,37,12.61261261261261,17.413190954538436,77.26269315673288,-2.486486486486486,-0.629238306308475
