file,cycle_id,start_time,end_time,points,anomaly_points,max_anomaly_score,zero_power_points,true_anomaly_points,anomaly_page_nos,judgement
WeldingTest_03_NG,24,2022-08-03 14:49:29.254,2022-08-03 14:51:41.711,39,0,3.044,0,0,,정상
WeldingTest_03_NG,25,2022-08-03 15:01:26.276,2022-08-03 15:03:37.986,39,0,3.058,0,0,,정상
WeldingTest_03_NG,26,2022-08-03 15:04:25.868,2022-08-03 15:06:38.211,39,0,3.044,0,0,,정상
WeldingTest_03_NG,27,2022-08-03 15:14:59.436,2022-08-03 15:17:11.706,39,0,3.044,0,0,,정상
WeldingTest_04_NG,1,2022-08-03 15:24:10.491,2022-08-03 15:26:23.419,39,11,295.844,0,0,"2,3,4,5,6,7,8,9,11,12,18",불량 의심
WeldingTest_04_NG,2,2022-08-03 16:19:59.207,2022-08-03 16:22:12.571,39,0,0.209,0,0,,정상
WeldingTest_04_NG,3,2022-08-03 16:35:45.705,2022-08-03 16:37:58.045,39,39,198.987,39,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39",불량 의심
WeldingTest_04_NG,4,2022-08-03 17:09:19.664,2022-08-03 17:11:32.288,39,39,169.074,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39",불량 의심
WeldingTest_04_NG,5,2022-08-03 17:14:22.542,2022-08-03 17:16:35.485,39,39,169.045,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39",불량 의심
WeldingTest_04_NG,6,2022-08-03 17:26:55.044,2022-08-03 17:29:08.820,39,39,168.368,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39",불량 의심
WeldingTest_04_NG,7,2022-08-03 17:31:11.341,2022-08-03 17:33:24.391,39,39,182.127,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39",불량 의심
WeldingTest_04_NG,8,2022-08-03 17:40:33.022,2022-08-03 17:42:46.582,39,39,169.071,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39",불량 의심
WeldingTest_04_NG,9,2022-08-03 17:44:48.443,2022-08-03 17:47:02.353,39,39,169.074,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39",불량 의심
