part_number,date,previous_actual,actual_d,absolute_change,part_change_threshold
Part 24,2021-09-17,11.0,176,165.0,149.0
Part 24,2021-10-04,0.0,150,150.0,149.0
Part 25,2021-10-02,41.0,0,41.0,40.0
Part 25,2021-10-04,0.0,41,41.0,40.0
Part 25,2021-10-18,0.0,48,48.0,40.0
Part 26,2021-09-15,0.0,194,194.0,96.0
Part 26,2021-10-02,178.0,0,178.0,96.0
Part 26,2021-10-04,0.0,199,199.0,96.0
Part 26,2021-10-16,149.0,0,149.0,96.0
Part 26,2021-10-18,0.0,216,216.0,96.0
Part 27,2021-09-27,121.0,198,77.0,73.0
Part 27,2021-10-02,200.0,0,200.0,73.0
Part 27,2021-10-04,0.0,228,228.0,73.0
Part 28,2021-09-17,106.0,684,578.0,74.0
Part 28,2021-09-27,684.0,536,148.0,74.0
Part 28,2021-10-02,522.0,0,522.0,74.0
Part 28,2021-10-04,0.0,538,538.0,74.0
Part 29,2021-09-27,324.0,542,218.0,72.0
Part 29,2021-10-02,504.0,0,504.0,72.0
Part 29,2021-10-04,0.0,512,512.0,72.0
Part 3,2021-10-02,144.0,0,144.0,104.0
Part 3,2021-10-04,0.0,165,165.0,104.0
Part 30,2021-10-02,333.0,0,333.0,332.0
Part 31,2021-10-16,56.0,0,56.0,36.0
Part 31,2021-10-18,0.0,43,43.0,36.0
Part 32,2021-09-16,1.0,37,36.0,4.0
Part 32,2021-09-17,37.0,72,35.0,4.0
Part 32,2021-09-27,72.0,42,30.0,4.0
Part 32,2021-09-28,42.0,37,5.0,4.0
Part 32,2021-09-30,36.0,2,34.0,4.0
Part 32,2021-10-13,0.0,19,19.0,4.0
Part 32,2021-10-15,23.0,1,22.0,4.0
Part 33,2021-10-18,0.0,187,187.0,165.0
Part 35,2021-10-16,9.0,0,9.0,8.0
Part 35,2021-10-22,12.0,26,14.0,8.0
Part 35,2021-10-25,26.0,7,19.0,8.0
Part 36,2021-09-30,0.0,23,23.0,10.0
Part 36,2021-10-01,23.0,7,16.0,10.0
Part 36,2021-10-18,0.0,17,17.0,10.0
Part 36,2021-10-19,17.0,30,13.0,10.0
Part 36,2021-10-22,42.0,27,15.0,10.0
Part 37,2021-09-27,485.0,192,293.0,208.0
Part 38,2021-10-02,125.0,0,125.0,123.0
Part 38,2021-10-04,0.0,133,133.0,123.0
Part 38,2021-11-01,37.0,207,170.0,123.0
