document_id,part_number,Model,N,Actual_Total,Actual_Mean,Zero_Actual_Count,Over_Prediction_Count,Exact_Count,Under_Prediction_Count,MAE,RMSE,WAPE_pct,Forecast_Bias,R2
part_12__xgboost,Part 12,XGBoost,9,5.0,0.5555555555555556,6,0,6,3,0.5553866409111111,1.1050832507756914,99.96959536400001,-0.5553866409111111,-0.3367287605776017
part_12__lightgbm,Part 12,LightGBM,9,5.0,0.5555555555555556,6,3,3,3,0.5247957670849577,0.7707362683530575,94.46323807529238,-0.22256311092038603,0.34977316184137164
part_12__catboost,Part 12,CatBoost,9,5.0,0.5555555555555556,6,1,5,3,0.5498502225754629,0.841666328761911,98.97304006358333,-0.248677664761401,0.22458677126086746
part_12__lstm,Part 12,LSTM,9,5.0,0.5555555555555556,6,6,0,3,1.089633287777778,1.2951670241752737,196.13399180000002,0.20668761222222226,-0.8361360440728884
part_12__3_day_moving_average,Part 12,3-day Moving Average,9,5.0,0.5555555555555556,6,7,1,1,1.1111111144224803,1.3966450113145847,200.00000059604645,0.4444444477558136,-1.1351351391624758
part_12__d_3_plan_reference,Part 12,D+3 Plan Reference,9,5.0,0.5555555555555556,6,1,6,2,0.4444444444444444,0.816496580927726,80.0,0.0,0.2702702702702704
part_13__xgboost,Part 13,XGBoost,9,15.0,1.6666666666666667,4,5,0,4,2.1124889533333335,2.816231217416111,126.74933720000001,-0.7835274688888889,-1.099424247927685
part_13__lightgbm,Part 13,LightGBM,9,15.0,1.6666666666666667,4,6,0,3,2.8568537969234216,3.383293949767587,171.4112278154053,1.3188553814167099,-2.030002986906049
part_13__catboost,Part 13,CatBoost,9,15.0,1.6666666666666667,4,5,1,3,2.2693292038673167,3.0206770920696187,136.159752232039,0.6659848795959071,-1.4153062014996332
part_13__lstm,Part 13,LSTM,9,15.0,1.6666666666666667,4,6,0,3,1.9277462133333334,2.2614469093413767,115.66477280000001,-0.3451528977777778,-0.35374350335079363
part_13__3_day_moving_average,Part 13,3-day Moving Average,9,15.0,1.6666666666666667,4,4,1,4,1.518518520726098,1.9594657879920299,91.11111124356587,-0.6296296318372091,-0.016339869670618956
part_13__d_3_plan_reference,Part 13,D+3 Plan Reference,9,15.0,1.6666666666666667,4,4,2,3,2.5555555555555554,3.636237371545238,153.33333333333334,1.0,-2.500000000000001
part_14__xgboost,Part 14,XGBoost,9,693.0,77.0,0,0,0,9,29.337462555555557,32.302619907031136,38.100600721500726,-29.337462555555557,-2.7867472885980304
part_14__lightgbm,Part 14,LightGBM,9,693.0,77.0,0,3,0,6,19.56632496517363,22.40550655593488,25.41081164308264,-11.899858078108387,-0.8217985952630515
part_14__catboost,Part 14,CatBoost,9,693.0,77.0,0,7,0,2,19.291417154145627,21.75144304671006,25.053788511877435,8.134719806538214,-0.716986883680824
part_14__lstm,Part 14,LSTM,9,693.0,77.0,0,6,0,3,22.919434555555554,26.767524947610955,29.765499422799422,14.51394811111111,-1.6002030348341831
part_14__3_day_moving_average,Part 14,3-day Moving Average,9,693.0,77.0,0,9,0,0,21.037036471896702,23.303154942096516,27.320826586878834,21.037036471896702,-0.9706989001202484
part_14__d_3_plan_reference,Part 14,D+3 Plan Reference,9,693.0,77.0,0,2,0,7,22.88888888888889,36.718145680606234,29.725829725829726,-21.11111111111111,-3.892741935483871
part_15__xgboost,Part 15,XGBoost,9,259.0,28.77777777777778,0,6,0,3,10.503405422222222,12.712057851417468,36.49832,0.8919654666666668,-1.8209718966035653
part_15__lightgbm,Part 15,LightGBM,9,259.0,28.77777777777778,0,5,0,4,13.242586851993297,15.441593866506327,46.01671106870258,3.4996676135503404,-3.1624716621095246
part_15__catboost,Part 15,CatBoost,9,259.0,28.77777777777778,0,3,0,6,7.82213818621028,8.822950510756534,27.181175164437267,-3.3219004938087187,-0.3589226105465473
part_15__lstm,Part 15,LSTM,9,259.0,28.77777777777778,0,1,0,8,17.688633633333335,20.261957944870268,61.46629447876448,-17.211852522222223,-6.1668754570118525
part_15__3_day_moving_average,Part 15,3-day Moving Average,9,259.0,28.77777777777778,0,1,1,7,11.888888941870796,13.053073126246852,41.31274149684832,-10.111111164093018,-1.9743534830109843
part_15__d_3_plan_reference,Part 15,D+3 Plan Reference,9,259.0,28.77777777777778,0,7,0,2,11.88888888888889,13.674794331177344,41.312741312741316,2.5555555555555554,-2.264439655172414
part_16__xgboost,Part 16,XGBoost,9,565.0,62.77777777777778,0,0,0,9,25.96491288888889,27.168122309664767,41.3600382300885,-25.96491288888889,-11.221311622335499
part_16__lightgbm,Part 16,LightGBM,9,565.0,62.77777777777778,0,1,0,8,24.097671923701814,27.404299424014074,38.385672090852445,-23.878741334784106,-11.434719088430594
part_16__catboost,Part 16,CatBoost,9,565.0,62.77777777777778,0,1,0,8,8.982993881849957,11.632362661878922,14.309193794097277,-7.812246090820206,-1.2404457785967833
part_16__lstm,Part 16,LSTM,9,565.0,62.77777777777778,0,2,0,7,22.81716788888889,27.432350521693078,36.34593115044248,-21.514273222222226,-11.460188525500367
part_16__3_day_moving_average,Part 16,3-day Moving Average,9,565.0,62.77777777777778,0,1,0,8,7.22222179836697,8.5396675561725,11.504424103593404,-7.148148006863064,-0.20748153711479156
part_16__d_3_plan_reference,Part 16,D+3 Plan Reference,9,565.0,62.77777777777778,0,1,0,8,11.777777777777779,19.258475767539053,18.761061946902654,-11.555555555555555,-5.141046606704824
part_17__xgboost,Part 17,XGBoost,9,1334.0,148.22222222222223,0,0,0,9,54.06465588888889,58.67538715161988,36.47540502248876,-54.06465588888889,-17.738535522697944
part_17__lightgbm,Part 17,LightGBM,9,1334.0,148.22222222222223,0,3,0,6,34.188521999132284,43.7404583371689,23.065719489669455,-28.99664480848206,-9.413347892702209
part_17__catboost,Part 17,CatBoost,9,1334.0,148.22222222222223,0,5,0,4,22.575706894279985,32.165813830636885,15.230986660308837,-11.690515630200133,-4.63135371121909
part_17__lstm,Part 17,LSTM,9,1334.0,148.22222222222223,0,2,0,7,41.17398544444444,47.57597904214377,27.77855089955022,-33.931496555555555,-11.319673184202307
part_17__3_day_moving_average,Part 17,3-day Moving Average,9,1334.0,148.22222222222223,0,4,0,5,15.555555555555555,17.272685258233114,10.494752623688155,0.5185173882378472,-0.6238407565131476
part_17__d_3_plan_reference,Part 17,D+3 Plan Reference,9,1334.0,148.22222222222223,0,1,0,8,29.0,52.47539105777742,19.565217391304348,-28.11111111111111,-13.987703265690094
part_18__xgboost,Part 18,XGBoost,9,850.0,94.44444444444444,0,0,0,9,30.218891777777774,32.48827209270563,31.99647364705882,-30.218891777777774,-3.9163032610203397
part_18__lightgbm,Part 18,LightGBM,9,850.0,94.44444444444444,0,5,0,4,22.440125254327043,28.65279484933661,23.760132622228635,-4.721577178185422,-2.824013505861519
part_18__catboost,Part 18,CatBoost,9,850.0,94.44444444444444,0,4,0,5,15.98384859616326,20.433456724693247,16.92407498417286,-2.898051819434996,-0.9447739189944131
part_18__lstm,Part 18,LSTM,9,850.0,94.44444444444444,0,0,0,9,42.11761944444444,48.726482025120546,44.595126470588234,-42.11761944444444,-10.058992184824387
part_18__3_day_moving_average,Part 18,3-day Moving Average,9,850.0,94.44444444444444,0,5,0,4,15.925925360785591,20.017893122153897,16.86274449965533,4.296296861436632,-0.8664749654426731
part_18__d_3_plan_reference,Part 18,D+3 Plan Reference,9,850.0,94.44444444444444,0,0,0,9,22.444444444444443,35.358481616469646,23.764705882352942,-22.444444444444443,-4.8233467510063255
part_19__xgboost,Part 19,XGBoost,9,63.0,7.0,6,3,3,3,6.475742755555555,12.485847517237607,92.5106107936508,1.0702804000000004,0.48416636249508205
part_19__lightgbm,Part 19,LightGBM,9,63.0,7.0,6,7,1,1,7.472803330867013,13.204515490845282,106.75433329810018,3.246027822327769,0.4230760793633247
part_19__catboost,Part 19,CatBoost,9,63.0,7.0,6,7,0,2,7.714773855817709,13.329389284177203,110.21105508311012,0.5340153256327859,0.4121126587491756
part_19__lstm,Part 19,LSTM,9,63.0,7.0,6,7,0,2,8.237566155555555,15.350830708878396,117.67951650793651,-1.6903836222222222,0.22028234151698678
part_19__3_day_moving_average,Part 19,3-day Moving Average,9,63.0,7.0,6,5,1,3,9.074074086215761,19.120475758363543,129.6296298030823,-4.851851837502585,-0.20968137464540848
part_19__d_3_plan_reference,Part 19,D+3 Plan Reference,9,63.0,7.0,6,5,3,1,6.555555555555555,13.634107557478373,93.65079365079364,4.111111111111111,0.38492647058823526
part_2__xgboost,Part 2,XGBoost,9,5728.0,636.4444444444445,0,4,0,5,84.43277666666667,102.38869018957779,13.266323149441343,2.403712222222206,-1.6935707530363606
part_2__lightgbm,Part 2,LightGBM,9,5728.0,636.4444444444445,0,4,0,5,71.33441387442753,81.88355068176574,11.208270336414937,-24.601242208119817,-0.7227321006316092
part_2__catboost,Part 2,CatBoost,9,5728.0,636.4444444444445,0,6,0,3,64.11519898971274,80.74118691326359,10.073966321707658,-8.314609069204392,-0.6749994620121174
part_2__lstm,Part 2,LSTM,9,5728.0,636.4444444444445,0,0,0,9,474.83397111111117,483.54240945660234,74.60729294692739,-474.83397111111117,-59.07496875913015
part_2__3_day_moving_average,Part 2,3-day Moving Average,9,5728.0,636.4444444444445,0,7,0,2,80.48147243923611,92.23660302646648,12.6454827505783,27.88888888888889,-1.1859036394996392
part_2__d_3_plan_reference,Part 2,D+3 Plan Reference,9,5728.0,636.4444444444445,0,0,0,9,180.11111111111111,269.3405527085242,28.299581005586592,-180.11111111111111,-17.639227416622788
part_20__xgboost,Part 20,XGBoost,9,453.0,50.333333333333336,0,1,0,8,17.316993666666665,20.89728729288796,34.40462317880794,-15.92672033333333,0.12738242766130792
part_20__lightgbm,Part 20,LightGBM,9,453.0,50.333333333333336,0,2,0,7,12.165779968330384,17.29071333929046,24.170423778139835,-10.916672551771244,0.4025934924436826
part_20__catboost,Part 20,CatBoost,9,453.0,50.333333333333336,0,4,0,5,17.872219975573344,20.84488032150843,35.50772180577486,-4.66237156087098,0.13175370324998104
part_20__lstm,Part 20,LSTM,9,453.0,50.333333333333336,0,1,0,8,31.319304111111112,37.165358339174055,62.22378300220751,-30.664321888888885,-1.7600743215614858
