part_number,daily_rows,first_date,last_date,valid_sequence_count,excluded,exclusion_reason,test_rows,test_start,test_end,actual_total,actual_mean,actual_zero_count,recommended_model,recommended_model_test_mae,document_id,has_test_data
Part 56,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,1600.0,177.77777777777777,0.0,3-day Moving Average,20.148147583007812,part_56,True
Part 57,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,158.0,17.555555555555557,0.0,CatBoost,7.279398086033518,part_57,True
Part 58,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,391.0,43.44444444444444,0.0,3-day Moving Average,15.037037319607204,part_58,True
Part 59,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,324.0,36.0,0.0,3-day Moving Average,7.962963104248047,part_59,True
Part 6,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,916.0,101.77777777777777,0.0,3-day Moving Average,5.92592536078559,part_6,True
Part 60,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,4727.0,525.2222222222222,0.0,3-day Moving Average,233.9629652235243,part_60,True
Part 61,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,446.0,49.55555555555556,0.0,CatBoost,14.747440489243708,part_61,True
Part 62,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,1388.0,154.22222222222223,0.0,3-day Moving Average,16.814815945095486,part_62,True
Part 63,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,2154.0,239.33333333333334,0.0,3-day Moving Average,35.37037150065104,part_63,True
Part 64,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,471.0,52.333333333333336,0.0,3-day Moving Average,9.740741093953451,part_64,True
Part 65,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,3027.0,336.3333333333333,0.0,3-day Moving Average,64.55555555555556,part_65,True
Part 66,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,4727.0,525.2222222222222,0.0,3-day Moving Average,233.9629652235243,part_66,True
Part 67,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,446.0,49.55555555555556,0.0,CatBoost,14.747440489243708,part_67,True
Part 68,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,1388.0,154.22222222222223,0.0,3-day Moving Average,16.814815945095486,part_68,True
Part 69,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,2154.0,239.33333333333334,0.0,3-day Moving Average,35.37037150065104,part_69,True
Part 7,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,258.0,28.666666666666668,0.0,CatBoost,14.676091835013892,part_7,True
Part 70,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,471.0,52.333333333333336,0.0,3-day Moving Average,9.740741093953451,part_70,True
Part 71,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,3027.0,336.3333333333333,0.0,3-day Moving Average,64.55555555555556,part_71,True
Part 72,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,209.0,23.22222222222222,0.0,3-day Moving Average,21.074074056413437,part_72,True
Part 73,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,632.0,70.22222222222223,0.0,3-day Moving Average,27.81481382581923,part_73,True
Part 74,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,1508.0,167.55555555555554,0.0,3-day Moving Average,27.88888888888889,part_74,True
